inventor_id,name,country
fl:li_ln:wang-449,Lifeng Wang,JP
fl:pi_ln:furman-1,Piotr Furman,PL
fl:vi_ln:nagarajan-1,Viswanath Nagarajan,US
fl:bo_ln:zapletal-1,Bohumila Zapletal,CA
fl:ko_ln:in-1,Kouichi In,JP
fl:mi_ln:gifford-5,Michael F. Gifford,US
fl:ja_ln:thompson-32,James M. Thompson,US
fl:ta_ln:katoh-25,Takao Katoh,JP
fl:pe_ln:andrews-5,Peter Scott Andrews,US
fl:se_ln:otsubo-1,Seiichi Otsubo,JP
fl:fa_ln:beteille-1,Fabien Beteille,FR
fl:jo_ln:mcmichael-6,Jonathan R. McMichael,US
fl:ja_ln:chein-1,Jason Shih Shen Chein,US
fl:ja_ln:boggs-2,Janet Boggs,US
fl:je_ln:merino-1,Jean-Francois Merino,FR
fl:to_ln:matsuda-38,Toru Matsuda,JP
fl:ma_ln:tanaka-91,Masahide Tanaka,JP
fl:wi_ln:starke-3,William J. Starke,US
fl:mi_ln:chih-2,Ming-Hui Chih,TW
fl:st_ln:sunshine-3,Steven A. Sunshine,US
fl:ji_ln:cho-16,Jin Kyeom Cho,KR
fl:jo_ln:ketchum-2,John W. Ketchum,US
fl:sh_ln:lin-405,Shu-Hung Lin,TW
fl:wi_ln:loxsom-1,William Loxsom,US
fl:ts_ln:yu-50,Tsung-Hsin Yu,TW
fl:la_ln:ames-1,Lawrence L. Ames,US
fl:ma_ln:hayakawa-11,Masahiko Hayakawa,JP
fl:ge_ln:steiniger-1,Gerhard Steiniger,DE
fl:vi_ln:chandrasekaran-2,Vinodh Chandrasekaran,US
fl:st_ln:burstrom-1,Stefan Burström,SE
fl:pa_ln:burrows-2,Paul E. Burrows,US
fl:li_ln:du-30,Liang Du,US
fl:mi_ln:mennicken-1,Michael Mennicken,DE
fl:ji_ln:clayton-2,Jimmy L. Clayton,US
fl:mi_ln:kim-311,Minji Kim,KR
fl:an_ln:roy-16,Anirban Roy,US
fl:dr_ln:jeremic-1,Dragan Jeremic,SI
fl:ma_ln:rossetti-3,Massimiliano Rossetti,IT
fl:mi_ln:lin-81,Ming-Sheng Lin,TW
fl:al_ln:finn-1,Alan Matthew Finn,US
fl:mi_ln:hufen-1,Michael Hufen,DE
fl:su_ln:chun-22,Sung Duck Chun,KR
fl:al_ln:goldner-1,Alla Goldner,IL
fl:sh_ln:sato-30,Shinichi Sato,JP
fl:fr_ln:klose-1,Frank Klose,DE
fl:jo_ln:zupan-1,Joseph Zupan,US
fl:mi_ln:anson-1,Michael J. Anson,US
fl:ki_ln:suzuki-35,Kiyoshi Suzuki,JP
fl:yo_ln:kimura-10,Youichi Kimura,JP
fl:em_ln:cooper-4,Emanuel I. Cooper,US
fl:lu_ln:michas-2,Luke William Michas,US
fl:ch_ln:obosu-1,Charles B. Obosu,US
fl:we_ln:schiffman-1,Wendela Schiffman,US
fl:ch_ln:cao-111,Chong Cao,US
fl:al_ln:brooker-1,Alan Thomas Brooker,GB
fl:no_ln:nambu-1,Nobuyoshi Nambu,JP
fl:te_ln:tang-13,Teng-Yen Tang,TW
fl:jo_ln:heinke-1,Joel Heinke,US
fl:mo_ln:soni-3,Mohit Soni,IN
fl:ka_ln:prevratil-1,Karyne Poissant Prevratil,US
fl:ge_ln:lysy-1,George C. Lysy,US
fl:jo_ln:panigot-1,Joseph E. Panigot,US
fl:ke_ln:chan-25,Kevin K. Chan,US
fl:ta_ln:fukuoka-15,Takahiro Fukuoka,JP
